cluster,AUC,site
1,0.7583333333333333,79
0,0.6910569105691057,79
1,0.525,122
0,0.5576923076923077,122
0,0.5095238095238095,142
1,0.7878787878787878,142
1,0.6,148
2,0.8084179970972424,148
0,0.3333333333333333,148
2,0.846938775510204,154
1,0.2272727272727272,154
0,,154
1,0.3571428571428571,157
2,0.7234848484848484,157
0,,157
2,0.7317073170731707,165
0,,165
1,0.875,165
2,0.6814814814814815,167
0,1.0,167
1,0.6458333333333333,167
2,0.8961240310077521,176
1,0.5714285714285715,176
0,,176
0,0.9170068027210884,199
1,0.5142857142857142,199
0,0.7587412587412589,227
1,0.8333333333333333,227
0,0.750354609929078,248
1,0.9393939393939392,248
1,0.7053571428571428,252
0,0.7727272727272727,252
1,0.7037037037037036,264
0,0.5018315018315018,264
0,0.9325,281
1,0.4307692307692308,281
1,0.7166666666666667,283
0,0.8638297872340426,283
0,0.7365967365967366,338
1,0.7916666666666666,338
0,0.7888888888888889,420
1,0.7678571428571429,420
0,0.772189349112426,449
1,0.7,449
0,0.6944444444444444,458
1,0.7130434782608696,458
