cluster,AUPRC,site
1,0.3662716699583059,79
0,0.2713804713804714,79
2,-0.0,79
0,0.6457126207126207,122
1,0.4705615942028985,122
0,0.7357590507094227,142
1,0.0555555555555555,142
2,0.6347570354174128,148
1,0.1666666666666666,148
0,-0.0,148
2,0.4981810563339737,154
0,0.1666666666666666,154
1,-0.0,154
2,0.4515392015392016,157
1,-0.0,157
0,0.7794011544011543,157
2,0.7030778918089674,165
1,0.1666666666666666,165
0,1.0,165
1,0.5381944444444444,167
2,0.3938562874668351,167
0,0.7678571428571428,167
0,0.6428571428571428,176
2,0.4131043012117181,176
1,0.2873376623376623,176
1,0.6324341802398229,199
0,0.6845238095238095,199
1,0.313477199492237,227
0,0.7,227
2,-0.0,227
2,-0.0,248
1,0.2733333333333333,248
0,0.6604166666666667,248
1,0.3131269909190319,252
0,0.5454901960784313,252
2,0.5,252
1,0.5984253695193957,264
0,0.5469187675070029,264
2,0.3333333333333333,264
1,0.6722796427019193,281
0,0.4297619047619048,281
2,-0.0,281
2,-0.0,283
1,0.5865624649949592,283
0,0.3772222222222222,283
1,0.4379801817002774,338
0,0.7048611111111112,338
0,0.4098298760063465,420
1,0.3333333333333333,420
2,-0.0,420
1,0.4256377511377511,449
0,0.5416666666666666,449
2,-0.0,449
1,0.6542698023439728,458
0,0.8021043771043772,458
