cluster,AUPRC,site
1,0.5265197956577267,79
0,0.21766381766381765,79
2,,79
1,0.4950378849291078,122
0,,122
1,0.6668955708322108,142
0,,142
2,,142
2,0.5282518796992481,148
0,0.2,148
1,1.0,148
2,0.573937903883556,154
1,0.8634920634920634,154
0,,154
2,0.5911379624614919,157
0,,157
1,0.5436507936507936,157
2,0.6093602696325601,165
0,,165
1,0.7,165
2,0.2399000295357568,167
0,0.6666666666666666,167
1,0.38690476190476186,167
1,0.7777777777777777,176
2,0.54872516405974,176
0,0.25,176
0,0.6110967141577757,199
1,0.7751942501942501,199
0,0.1502234993614304,227
1,0.6688958916900094,227
2,,227
2,0.6333333333333333,248
0,0.6144796785421784,248
1,0.6394708994708995,248
1,0.6074958405121449,252
0,0.43105413105413104,252
2,,252
1,0.5217784992784993,264
0,0.451010101010101,264
2,1.0,264
0,0.35010412059560664,281
1,0.5091666666666668,281
2,0.5,281
2,,283
0,0.5366161616161615,283
1,0.4987389422172031,283
1,0.2851190476190476,338
0,0.4200965700965701,338
2,,338
1,0.5888515980215425,420
0,,420
2,1.0,420
0,0.534375,449
1,0.3220255183413078,449
2,1.0,449
0,0.4803030303030304,458
1,0.4780493103073748,458
