cluster,AUPRC,site
1,0.6572100313479624,79
0,0.1276595744680851,79
1,0.5402777777777779,122
0,0.1034482758620689,122
0,0.1063829787234042,142
1,0.7323044065160975,142
1,0.6428571428571428,148
2,0.1969696969696969,148
0,0.25,148
2,0.1403508771929824,154
1,0.1538461538461538,154
0,-0.0,154
1,0.2532679738562091,157
2,0.2142857142857142,157
0,-0.0,157
2,0.2678571428571428,165
0,-0.0,165
1,0.8333333333333334,165
2,0.2105263157894736,167
0,0.2,167
1,0.6547619047619047,167
2,0.2586206896551724,176
1,0.62,176
0,-0.0,176
0,0.234375,199
1,0.4216666666666667,199
0,0.2280701754385964,227
1,0.7560568086883876,227
0,0.2419354838709677,248
1,0.8055555555555556,248
1,0.4806664694863452,252
0,0.1698113207547169,252
1,0.6511830693815989,264
0,0.1521739130434782,264
0,0.1379310344827586,281
1,0.2787590187590187,281
1,0.4078947368421052,283
0,0.175438596491228,283
0,0.22,338
1,0.5499389499389499,338
0,0.0425531914893617,420
1,0.589031862745098,420
0,0.2,449
1,0.3333333333333333,449
0,0.125,458
1,0.3626330532212885,458
