cluster,AUC,site
1,0.7333333333333333,79
0,0.7276422764227641,79
1,0.6,122
0,0.5673076923076923,122
0,0.5285714285714286,142
1,0.7272727272727272,142
1,0.5,148
2,0.8359941944847605,148
0,0.3333333333333333,148
2,0.8290816326530612,154
1,0.3181818181818182,154
0,,154
1,0.4285714285714285,157
2,0.7253787878787878,157
0,,157
2,0.7560975609756099,165
0,,165
1,0.84375,165
2,0.6851851851851851,167
0,1.0,167
1,0.6666666666666667,167
2,0.9209302325581395,176
1,0.5142857142857143,176
0,,176
0,0.9061224489795918,199
1,0.3142857142857143,199
0,0.7500000000000001,227
1,0.8214285714285714,227
0,0.75177304964539,248
1,0.9393939393939392,248
1,0.6964285714285715,252
0,0.7752525252525252,252
1,0.7407407407407407,264
0,0.4981684981684982,264
0,0.9475,281
1,0.4153846153846154,281
1,0.5666666666666667,283
0,0.8765957446808511,283
0,0.7529137529137528,338
1,0.725,338
0,0.7888888888888889,420
1,0.8214285714285714,420
0,0.772189349112426,449
1,0.9,449
0,0.6944444444444444,458
1,0.7652173913043478,458
