cluster,AUPRC,site
1,0.5885824621625839,79
0,0.188034188034188,79
2,,79
1,0.5637590483691715,122
0,,122
1,0.6646934508852342,142
0,,142
2,,142
2,0.4916721775504922,148
0,0.3333333333333333,148
1,1.0,148
2,0.6165242652084757,154
1,0.8412698412698413,154
0,,154
2,0.5663026182435733,157
0,,157
1,0.6590909090909091,157
2,0.6059344188949451,165
0,,165
1,0.8666666666666667,165
2,0.246393245168152,167
0,0.7,167
1,0.3869047619047618,167
1,0.8666666666666667,176
2,0.6557551483180774,176
0,0.2,176
0,0.6467712077194837,199
1,0.8480158730158731,199
0,0.144047619047619,227
1,0.6469219924812031,227
2,,227
2,0.6095238095238096,248
0,0.5521754593445769,248
1,0.7093240093240093,248
1,0.5802579365079366,252
0,0.4979166666666666,252
2,,252
1,0.4659119106699751,264
0,0.5717365967365967,264
2,1.0,264
0,0.417016317016317,281
1,0.3578711484593837,281
2,0.5,281
2,,283
0,0.4856150793650793,283
1,0.5289155736736382,283
1,0.2465811965811965,338
0,0.452049351209015,338
2,,338
1,0.5612556094698952,420
0,,420
2,1.0,420
0,0.4244972651222651,449
1,0.338345864661654,449
2,1.0,449
0,0.2752450980392156,458
1,0.4711368878035544,458
