cluster,AUC,site
1,0.8058608058608059,79
0,0.7083333333333334,79
2,,79
0,0.6553030303030303,122
1,0.831081081081081,122
0,0.7630769230769231,142
1,0.5405405405405406,142
2,0.8170940170940172,148
1,0.5384615384615384,148
0,,148
2,0.7129629629629629,154
0,0.1666666666666666,154
1,,154
2,0.7777777777777777,157
1,,157
0,0.5952380952380953,157
2,0.7590090090090089,165
1,0.7142857142857143,165
0,1.0,165
1,0.8863636363636364,167
2,0.6793650793650794,167
0,0.4166666666666666,167
0,0.6666666666666667,176
2,0.6412776412776413,176
1,0.671875,176
1,0.775974025974026,199
0,0.85,199
1,0.6341463414634146,227
0,0.7636363636363637,227
2,,227
2,,248
1,0.8274509803921568,248
0,0.6666666666666667,248
1,0.5096153846153846,252
0,0.6142857142857143,252
2,0.0,252
1,0.680911680911681,264
0,0.6031746031746031,264
2,0.0,264
1,0.7938311688311688,281
0,0.6515151515151515,281
2,,281
2,,283
1,0.7978723404255319,283
0,0.6666666666666666,283
1,0.7771836007130125,338
0,0.75,338
0,0.7149122807017544,420
1,0.9565217391304348,420
2,,420
1,0.7910714285714285,449
0,0.65,449
2,,449
1,0.7213675213675214,458
0,0.7283950617283951,458
