cluster,AUPRC,site
1,0.3919348303584757,79
0,0.2994227994227994,79
2,-0.0,79
0,0.511115072739166,122
1,0.619298245614035,122
0,0.7150516533822082,142
1,0.0555555555555555,142
2,0.6127161401886677,148
1,0.1428571428571428,148
0,-0.0,148
2,0.6136449840482099,154
0,0.1666666666666666,154
1,-0.0,154
2,0.4798452818060661,157
1,-0.0,157
0,0.7028138528138527,157
2,0.6900458326451947,165
1,0.1666666666666666,165
0,1.0,165
1,0.5515873015873016,167
2,0.3774665421724245,167
0,0.5595238095238095,167
0,0.7,176
2,0.483138062316558,176
1,0.2867424242424242,176
1,0.4699784347948995,199
0,0.8928571428571428,199
1,0.2464152302661619,227
0,0.7142857142857142,227
2,-0.0,227
2,-0.0,248
1,0.2708025308025308,248
0,0.5666666666666667,248
1,0.1862762237762237,252
0,0.305952380952381,252
2,0.5,252
1,0.6213206874554392,264
0,0.486893745352392,264
2,0.3333333333333333,264
1,0.6435555481737747,281
0,0.445995670995671,281
2,-0.0,281
2,-0.0,283
1,0.5485948727317014,283
0,0.3464285714285714,283
1,0.4234670034328036,338
0,0.7048611111111112,338
0,0.4061229978919319,420
1,0.3333333333333333,420
2,-0.0,420
1,0.435146918441036,449
0,0.7678571428571428,449
2,-0.0,449
1,0.6178946645052681,458
0,0.7788411660960681,458
