cluster,AUC,site
1,0.8021978021978022,79
0,0.638888888888889,79
2,,79
0,0.6590909090909092,122
1,0.8581081081081081,122
0,0.7723076923076924,142
1,0.5675675675675675,142
2,0.8427350427350426,148
1,0.6153846153846154,148
0,,148
2,0.7569444444444444,154
0,0.0,154
1,,154
2,0.7717717717717717,157
1,,157
0,0.6428571428571429,157
2,0.7072072072072072,165
1,0.6666666666666667,165
0,1.0,165
1,0.8522727272727273,167
2,0.6507936507936507,167
0,0.4166666666666667,167
0,0.75,176
2,0.6388206388206389,176
1,0.640625,176
1,0.7711038961038961,199
0,0.8,199
1,0.6480836236933798,227
0,0.7545454545454545,227
2,,227
2,,248
1,0.8431372549019607,248
0,0.625,248
1,0.4855769230769231,252
0,0.6285714285714286,252
2,0.0,252
1,0.6752136752136753,264
0,0.6428571428571428,264
2,0.0,264
1,0.801948051948052,281
0,0.6212121212121213,281
2,,281
2,,283
1,0.8058510638297872,283
0,0.6133333333333334,283
1,0.7629233511586454,338
0,0.75,338
0,0.75,420
1,0.9565217391304348,420
2,,420
1,0.8089285714285714,449
0,0.7,449
2,,449
1,0.7623931623931625,458
0,0.7283950617283951,458
