cluster,AUC,site
1,0.7777777777777777,79
0,0.7407407407407407,79
2,,79
1,0.6428571428571429,122
0,,122
1,0.7728531855955679,142
0,,142
2,,142
2,0.8,148
0,0.0,148
1,1.0,148
2,0.8375,154
1,0.6666666666666666,154
0,,154
2,0.7531305903398926,157
0,,157
1,0.5925925925925926,157
2,0.7059620596205961,165
0,,165
1,0.7777777777777779,165
2,0.6377551020408163,167
0,0.75,167
1,0.3888888888888888,167
1,0.7777777777777778,176
2,0.7703703703703704,176
0,0.5714285714285714,176
0,0.7481060606060607,199
1,0.7474747474747475,199
0,0.5402298850574712,227
1,0.8285714285714285,227
2,,227
2,0.6666666666666666,248
0,0.8068181818181818,248
1,0.6797385620915033,248
1,0.745,252
0,0.671875,252
2,,252
1,0.7604166666666666,264
0,0.4901960784313725,264
2,1.0,264
0,0.6370967741935484,281
1,0.8275862068965518,281
2,0.6666666666666667,281
2,,283
0,0.8137254901960783,283
1,0.6613756613756614,283
1,0.7580645161290323,338
0,0.7662337662337663,338
2,,338
1,0.78125,420
0,,420
2,1.0,420
0,0.75177304964539,449
1,0.5285714285714286,449
2,1.0,449
0,0.75,458
1,0.7511111111111112,458
