cluster,AUC,site
1,0.7728937728937729,79
0,0.6666666666666667,79
2,,79
0,0.6401515151515151,122
1,0.8783783783783784,122
0,0.7907692307692308,142
1,0.5405405405405406,142
2,0.8324786324786325,148
1,0.5384615384615384,148
0,,148
2,0.7546296296296297,154
0,0.1666666666666666,154
1,,154
2,0.7627627627627628,157
1,,157
0,0.6428571428571428,157
2,0.7342342342342342,165
1,0.7619047619047619,165
0,1.0,165
1,0.8522727272727273,167
2,0.6634920634920635,167
0,0.3333333333333333,167
0,0.75,176
2,0.6314496314496314,176
1,0.640625,176
1,0.7467532467532468,199
0,0.85,199
1,0.6306620209059233,227
0,0.7818181818181819,227
2,,227
2,,248
1,0.8392156862745098,248
0,0.6666666666666667,248
1,0.4807692307692308,252
0,0.5285714285714286,252
2,0.0,252
1,0.6723646723646725,264
0,0.626984126984127,264
2,0.0,264
1,0.7938311688311688,281
0,0.6363636363636364,281
2,,281
2,,283
1,0.7952127659574468,283
0,0.6266666666666667,283
1,0.7629233511586453,338
0,0.75,338
0,0.7412280701754386,420
1,0.9130434782608696,420
2,,420
1,0.8,449
0,0.7,449
2,,449
1,0.7282051282051282,458
0,0.7283950617283951,458
