cluster,AUPRC,site
1,0.4162846677132391,79
0,0.4085576259489302,79
2,-0.0,79
0,0.4881811815635345,122
1,0.6204545454545455,122
0,0.6793048203681686,142
1,0.0555555555555555,142
2,0.6096927104619413,148
1,0.1428571428571428,148
0,-0.0,148
2,0.538514727366052,154
0,0.1666666666666666,154
1,-0.0,154
2,0.510049685128749,157
1,-0.0,157
0,0.5612794612794613,157
2,0.6810645272601795,165
1,0.1428571428571428,165
0,1.0,165
1,0.6,167
2,0.3814916564916564,167
0,0.5845238095238094,167
0,0.6666666666666666,176
2,0.491594156971333,176
1,0.3060876623376624,176
1,0.6078884078884079,199
0,0.8928571428571428,199
1,0.3218986422933791,227
0,0.7047619047619047,227
2,-0.0,227
2,-0.0,248
1,0.257287784679089,248
0,0.5666666666666667,248
1,0.3153012299353763,252
0,0.3879670329670329,252
2,0.5,252
1,0.6896295014959606,264
0,0.4787299535198694,264
2,0.3333333333333333,264
1,0.6674411634349522,281
0,0.4535714285714285,281
2,-0.0,281
2,-0.0,283
1,0.561850367237196,283
0,0.4852564102564102,283
1,0.5241981503345139,338
0,0.7048611111111112,338
0,0.3758515198004876,420
1,0.5,420
2,-0.0,420
1,0.4218549720288851,449
0,0.75,449
2,-0.0,449
1,0.6197193880658729,458
0,0.785014005602241,458
