cluster,AUC,site
1,0.8078078078078078,79
0,0.654320987654321,79
2,,79
1,0.5976190476190477,122
0,,122
1,0.7451523545706371,142
0,,142
2,,142
2,0.7733333333333333,148
0,0.5,148
1,1.0,148
2,0.8322916666666667,154
1,0.5555555555555556,154
0,,154
2,0.7835420393559929,157
0,,157
1,0.5555555555555556,157
2,0.7005420054200542,165
0,,165
1,0.7777777777777779,165
2,0.6377551020408163,167
0,0.6875,167
1,0.4444444444444444,167
1,0.7777777777777779,176
2,0.7703703703703703,176
0,0.2857142857142857,176
0,0.8125,199
1,0.8282828282828283,199
0,0.5057471264367815,227
1,0.8,227
2,,227
2,0.6666666666666666,248
0,0.7537878787878788,248
1,0.7450980392156863,248
1,0.815,252
0,0.6458333333333333,252
2,,252
1,0.75,264
0,0.6176470588235294,264
2,1.0,264
0,0.7298387096774194,281
1,0.8206896551724138,281
2,0.6666666666666667,281
2,,283
0,0.7647058823529412,283
1,0.6243386243386243,283
1,0.7741935483870968,338
0,0.8138528138528139,338
2,,338
1,0.8035714285714286,420
0,,420
2,1.0,420
0,0.7234042553191489,449
1,0.5285714285714286,449
2,1.0,449
0,0.6842105263157895,458
1,0.72,458
