cluster,AUC,site
1,0.775,79
0,0.7317073170731707,79
1,0.5375000000000001,122
0,0.548076923076923,122
0,0.5476190476190477,142
1,0.7323232323232324,142
1,0.5,148
2,0.8098693759071118,148
0,0.6666666666666667,148
2,0.8596938775510203,154
1,0.2272727272727272,154
0,,154
1,0.4047619047619047,157
2,0.7178030303030303,157
0,,157
2,0.7463414634146341,165
0,,165
1,0.875,165
2,0.6703703703703704,167
0,1.0,167
1,0.6249999999999999,167
2,0.9023255813953488,176
1,0.5428571428571429,176
0,,176
0,0.9061224489795918,199
1,0.4,199
0,0.75,227
1,0.8214285714285714,227
0,0.75177304964539,248
1,0.9393939393939392,248
1,0.6875,252
0,0.7702020202020202,252
1,0.7268518518518519,264
0,0.4945054945054945,264
0,0.925,281
1,0.3538461538461538,281
1,0.6333333333333333,283
0,0.8638297872340425,283
0,0.7529137529137527,338
1,0.7333333333333333,338
0,0.8,420
1,0.8095238095238095,420
0,0.7677514792899408,449
1,0.8,449
0,0.6785714285714286,458
1,0.7130434782608696,458
