cluster,AUPRC,site
1,0.6916666666666667,79
0,0.4109126984126984,79
1,0.5943181818181817,122
0,0.1675497208105903,122
0,0.1647574819401444,142
1,0.7256295878035008,142
1,0.6428571428571428,148
2,0.6204913192718071,148
0,0.3333333333333333,148
2,0.3897982804232804,154
1,0.1464646464646464,154
0,-0.0,154
1,0.1809764309764309,157
2,0.564587160806673,157
0,-0.0,157
2,0.6010901467505241,165
0,-0.0,165
1,0.875,165
2,0.4152649620983979,167
0,0.5,167
1,0.7166305916305915,167
2,0.8027397192814812,176
1,0.6166666666666667,176
0,-0.0,176
0,0.8120013096313536,199
1,0.5175757575757576,199
0,0.5847218982637103,227
1,0.8219696969696968,227
0,0.419262561609638,248
1,0.8055555555555556,248
1,0.4683570397856112,252
0,0.5822110832637148,252
1,0.6197602126481437,264
0,0.1720189555737728,264
0,0.7223214285714286,281
1,0.3167676767676768,281
1,0.3929924242424242,283
0,0.6258916083916083,283
0,0.3995036716990295,338
1,0.6371553884711779,338
0,0.5588235294117647,420
1,0.5569444444444445,420
0,0.532788058175055,449
1,0.3333333333333333,449
0,0.237616931762882,458
1,0.3716394716394716,458
