cluster,AUC,site
1,0.7472527472527473,79
0,0.6319444444444444,79
2,,79
0,0.7424242424242424,122
1,0.8108108108108109,122
0,0.8,142
1,0.5405405405405406,142
2,0.8282051282051283,148
1,0.6153846153846154,148
0,,148
2,0.7094907407407407,154
0,0.1666666666666666,154
1,,154
2,0.7672672672672672,157
1,,157
0,0.7619047619047619,157
2,0.740990990990991,165
1,0.7619047619047619,165
0,1.0,165
1,0.8409090909090908,167
2,0.6761904761904761,167
0,0.5,167
0,0.5833333333333333,176
2,0.6474201474201474,176
1,0.640625,176
1,0.7857142857142857,199
0,0.65,199
1,0.627177700348432,227
0,0.7272727272727272,227
2,,227
2,,248
1,0.8392156862745097,248
0,0.6666666666666666,248
1,0.4951923076923077,252
0,0.6142857142857142,252
2,0.0,252
1,0.6695156695156695,264
0,0.6587301587301587,264
2,0.0,264
1,0.7905844155844156,281
0,0.6212121212121212,281
2,,281
2,,283
1,0.7925531914893617,283
0,0.6933333333333334,283
1,0.768270944741533,338
0,0.75,338
0,0.7521929824561404,420
1,0.9130434782608696,420
2,,420
1,0.7964285714285715,449
0,0.55,449
2,,449
1,0.7435897435897436,458
0,0.7407407407407408,458
